gyt: 4834,13982
海盗: 4450,14158
xiaosong: 15109,25690
大风车: 3492,30462
Rison: 43172,44793
AA: 8411,17433
恶魔: 10588,10605,13852,17081,27366,37938
dudu: 8301,12544,34079,45054
菩提: 31388,41867
小彬: 14924,46777
九阴争茎: 2379,2607,13994
DeVil: 19751,19934
jude: 35206,40973
清风: 14628,14642,29166,29555,30400,42461
AI: 7730,12775
DeltyZ: 12791,12803,12820,14603
breakholy: 12484,15118
AM: 17636,17656
inuyasha: 27241,35106
天雪夕飞: 6821,7800
messi: 13830,34558
可乐: 4408,16083,22940,28300,28521,28525,34828
NS: 27396,40423
tony: 1557,7356,13518,14686,15763,36300,36661,41998,42327,42807,44577,45887
wwwwww: 27723,43818
李伟恩: 4657,5071
蜡笔小新: 22416,29158,40260
咸蛋超人: 3313,43496
skyemoon: 10298,10389
逆袭の夏亚: 38659,38661
老猫: 19968,36106
dotaer: 22210,26731,29350,41665,42172,43883,44165
飞非: 19270,19287
无耻混蛋: 14784,35724
he: 2834,41817
hh: 26752,39207,46235
什么超人: 7534,7545
loda: 13159,42119
秋刀鱼: 23713,37649,37652,44740
月神: 14848,44466
mch87430: 28870,28872
hy.MissKiss: 29914,29997
饼饼: 7188,25576
hp: 21907,45903
ht: 10080,19540
hu: 17711,25099
King: 5654,12034,16653,20846,24334,28403,30470,44227
非常之特务: 12412,12415
coco: 15642,23647,26231,37963
苏苏: 32529,42375,46499
风少: 11786,17181,29662,36972
Necrolice: 34240,34247
米米: 24128,41057
南京香烟: 13800,13825
hkls: 46004,46005
李忆瑭: 6094,6105
朋友: 22319,37897
Zosimi: 21546,21562
light: 10867,25725
纸飞机: 17396,43682
丿Eric灬傲骄: 14998,15729
娃haha: 14543,14547
阳阳: 13336,17183,20690
风影: 13448,14349,31983
00000: 3560,23258
斩月: 11415,29821
YY小逆: 46161,46163
似乎是朋友: 44633,44634
Pink@Queen: 8292,8295
咔咔: 23667,26034,40094
黑炎: 8735,42418
拉灯: 17291,40623
大枪枪: 38523,38536
打酱油: 10582,10672,10679,13584,26558
鱼鱼: 15191,16799,34919
ReeChou: 1920,12492
小陌: 32585,43548
jueぜ迹: 30279,30282
浪迹天涯: 3083,15736,16716,38803,44890,46640
smile: 9930,11362,19995
lele: 9102,33197,43646
GoD: 34263,42497
朽木: 24501,28541
lelo: 4528,19290
吉吉: 1729,20811
funny: 16846,25292
555564548: 37400,37402
无所谓: 3219,40947
111111: 9612,17615,18339,32757,32760,35924,38364
Johnson: 4738,8633
限量版: 34455,44523
God: 30014,43102
ReLaX: 6226,20641
LongDD: 12897,43386
tsds: 41718,41751
Edison: 8704,34115
我勒个擦: 35733,39728
嘿嘿: 9009,15065,25308
Enqol: 31555,38936
Nero: 28630,32427
Fsports海涛: 13121,13161
阿孝: 35108,41881
秋日: 32483,32488
kkkk: 2708,35913
yjh: 11221,11997
青哥: 31751,31759
夏末: 6767,36530
忽忽: 15870,21139,46873,46879
maode: 32627,32643
ICE: 1955,5077,8974,14273,20059
sakula: 31469,31768
红魔涅槃: 30277,37207
Vurtne: 26862,30897,30903,39561
冬瓜: 4787,17879,18537,22910
牧风者: 19648,19812
｜恏痞孓ヾ呉: 3088,3103
待定: 9973,9982,11031
动感超人: 27073,39752,46589
FANS: 14199,22047
dlhy177: 37594,37599
fanfan: 18559,34949,38487
萧萧: 5764,7752,14799,15438,15450,21759,38925
zz2rhy: 31026,39029
death: 14332,43583
weichen: 24990,24994,33449
tao: 15785,20399,35593,37588
黑暗天空: 24944,24946
突突: 30768,32467
hai: 4564,44341
Mr Yes: 31698,31701
猩猩: 5699,29130
小明: 3215,6988,10685,11955,46534,46877
承影: 29963,40123,41450
hao: 12389,16270,34024,39269
SNAKE: 727,33347
渐晗: 25913,45263
骑士: 8094,16955
小鸡快跑: 3713,17341
niudin: 14308,32543
Reviver: 9435,9817
暗暗: 4023,25424
小河: 2142,38423
御前带刀侍卫: 10778,28510
小楼: 25386,25400,45312
KKK: 5100,28354,30755,45359
半神: 32043,32044
ashin: 12654,14432
素质游戏: 12086,25777
期待: 1493,39108,42429,42438
lion: 6296,12637,19086,24473,24474,34119
四哥: 15289,15743,32695
雨中漫步: 664,22069
野原新之助: 7517,43038
T神: 9972,10549
haitao620: 37728,39931
迷茫: 20822,21201,21202,21208,21220,26382,30211,36512,39884
萍水相逢: 3063,14163
锟之心，不知其几千里也: 20456,20685
龙战: 11947,23305
天意: 23827,41991
simon: 7292,26911
sheep887: 1752,1771
素月墨羽: 27654,27659,27661
沙漠之行: 14203,14225
Ken: 29419,34299
香蕉皮: 19944,19948
关闭着的.: 33419,33432
So_What: 7284,7286,7291
天行者fly: 21190,21206
魔尊九转: 35525,35534
zxdzc: 12151,12188
jin: 7765,29102,41832
阿飞: 21441,32764,37878,40857,46707
烙印: 26282,42428
lucky: 15417,27299,34577,45521
草鞋: 1585,16157
mukay: 9888,10616
kong: 29920,29939,31052,31467,32929
夜弑神、: 18930,18939
新手: 19814,22135,24005,45132
天枫: 34328,40554
pokemoon: 42439,42441
咕噜: 9515,38694
gzr1111: 18013,18033
123321: 7193,14720,18442
打酱油的: 6697,8875,9396,18999,37064,44367
可乐加冰: 9115,11648,24023
mR。fanG: 35584,35587
ZE神: 10870,32684
皮皮: 13742,29199,40684,42627
STAR: 19592,30540,34909
Luke: 11359,25211
小炎帅: 19426,21105
_Only_VomL_: 9069,9075
亮亮: 5976,12594,15170,20728,35770,37563,37585,40252
holyshit: 22859,27592,35734
杀破狼: 30419,30910,32817
ASD: 19635,24413
S、myth: 1423,1430
隐姓埋名: 15261,15546,29978
Double-W: 9956,12318,22144
philomela: 13631,15076,15083
手机杀手: 6190,6195
漩涡: 40453,40556
bladehua: 14920,16241
酱油男: 2150,22580,23807
动手动脚: 10142,10185
在水一方: 1928,3787,19150
Miracle: 5304,6678,15979,45475
独家记忆: 15064,17014,41055
Nothing: 14579,26740
denter: 30929,30936
shitou: 7871,10938,29783
雪中夜: 40318,45731
000: 4974,11748,12032,19518,26191,32950
老板、BoSs: 30301,34711
紫漄段: 11921,11933
犀利哥: 2151,8886,20628,33077,34794,42046
BC0045: 15680,15684
007: 1104,27769,33475,33927,36330,37342,37583,40719,42909
dongdong: 3241,16246,45865
008: 14591,42109
没瓣的苹果: 30316,30320
feifei: 6608,9175,13257,18113,42281
xiaowu: 35370,41813
夜下幽灵: 13587,13606
潇洒哥: 4605,20245,24402
pavel: 22823,35302
太子申生: 2927,38821
shh: 42186,42189
小元: 14793,32293,32297
小光: 6121,29929,30902,30904
jimmy: 1582,1944,23241
sun: 21159,29741,46892
为德沉沦: 9277,9359
狼群: 24140,34560
huzi: 3430,4791
Air_Dreaming: 14030,14036
小兜: 46467,46469
HELL: 7014,16817
00: 11757,18250,25026,38637
禽兽: 9682,13355,19851,43977
NewDotaer: 5782,5784
小77: 33567,33584
夜色西人: 31417,31418
小兵: 2153,44752
王帅: 9030,9037
sishen: 11104,11139
极品飞贼: 7944,7953
幼儿园小爱: 10406,10425,10445
vitamin: 13609,15235
小平: 8263,32725
方歌阙: 38680,38683
JJ: 2109,16063,36158
星月赞歌: 15349,15636
JK: 15770,20545
雪糕肉肉: 10746,10767
yamateh: 1859,13664,13674,18606,34165,44417
beiju`: 9969,11058
白菜: 28378,32580,40391
随风: 5235,11261,12041,12771,19847,26347,40628,43754,44755,46213,46214
dc: 15022,26685
木偶: 22019,24263,38602
妖哥: 22291,28588
dd: 385,11894,18715,32295,34766,35890,36887,37353,38540,40651
df: 43829,45433
大白兔: 24488,46539
小P孩: 16961,16964
dj: 35279,37428
dk: 6871,13473,44555
ice: 24910,26209,39860,45974,46561
Ivan: 6084,15223,44957
龍爵酸奶: 27751,27752
dt: 6900,34512
qq: 3879,14129,15343,23090,23352,32658,32790,35568,37759
hiskyhero: 41343,41346
Tragedy: 3189,40984
北北: 1335,17611,17988,35426
凯子: 13111,45039
Sherry: 170,15494
azzurri: 36599,36601
右手: 36024,42069
二哥: 16378,23616
妖孽: 468,14342
snail: 19876,42856
wang: 20278,37013
凯哥: 40055,40059,43121
ckh2002: 45789,45790
kasim: 1229,42639
小猴子: 1540,3198,9458,9472,19475
楚正义: 6510,20913
mashoom: 1064,1089
Jeremy: 12410,31094
hbjjay: 41224,46520
jacky: 4433,23488,34521
Ei8ht: 41882,41883
缘灭: 11872,36147
esport海涛: 2644,46219
icenip: 33720,33724
Dada: 3081,34961
kill: 33564,46167
闲着蛋疼: 33422,33441
煦枫: 19522,19756
windtalkers: 12955,13039
22222: 27624,46152
依然: 24273,41095
KarlSo: 15408,15511
20041065: 31807,46944
悠悠: 8559,14688
muyi: 36388,36391
Caven: 14860,14880
Trick: 45173,45174
GNRTZ: 39908,39910
菲菲: 20205,43821
milu: 3509,43570
john: 4783,7037,19356,30601
少爷: 17945,44413
Light: 9723,24094
毛一: 1246,1304
烈焰丶小杰: 27844,27847
BUG: 26784,27437,34108
Jacob: 6051,16132
fox: 2230,10377,31162,31336,33283,39525,43037
lu.lu.: 11029,11063
Dolt: 28944,28947
Clown: 20308,38113
卿少: 21860,21861
monkey: 11755,17329,18802
天道: 42821,42822
amber: 39514,44418
夜之哀伤: 28020,44416
鑫鑫: 12204,12838,41387,44719
Pos暗裳: 834,841
Bob: 29265,31187
ssssssss: 10505,36459
摩西: 11943,14363
123: 569,595,801,6571,7051,7804,8066,9375,10742,12231,12312,12707,13242,14091,15862,17381,17503,19211,19573,19637,19686,21031,21406,21560,21563,21564,21798,22810,22969,26025,26229,27015,27832,28619,28926,29115,29150,31497,32047,32591,32647,32893,32902,33273,33316,33928,34036,34701,35603,35711,36558,36699,36979,38022,39206,39443,39541,39627,39761,40200,40203,40322,40939,41203,41894,42386,42882,43286,43597,43651,43865,44184,44189,44517,44742,44743,44972,45443,45642,46426,46714
BIRD: 17282,19291
asd: 6092,12527,15752,15874,21312,23429,25317,26123,30626,31592,38266,43953,45303,45977
tsuki: 44514,44515
独狼: 29464,29467
若初见: 3985,44718
KISS: 18059,39901
可恶的你: 10456,10487,10516
超神: 1873,14911,27529,33753,40249,41418
熙世: 16859,16869
莫淡青衫: 4064,4079
Smile: 21500,44061
baobao: 10590,10765,12346
海阔天空: 11505,15927,41614,45654
N0MoreSorroW: 2688,2725
雪山飞虎: 325,3977
淡定: 5674,42394
苍天哥: 11138,23315
小殇: 16553,42467,43634
六爷: 30222,30223
小懒: 14425,29932
蝈蝈: 1107,3104,6792
mooner: 6817,8360
深远守望: 20735,30372
稻草人: 8302,46512
我爱海涛: 9908,10051,40830,44486
mecry: 17540,18926
赫连: 24536,32090
欠扁: 22627,22631
懒猪: 13933,33605
懒猫: 2692,28741
17gaming: 11454,32943,40276,41732
Ranfer: 39308,39643,39647
pc187: 44871,44872
flyinbed: 35508,38121
至尊宝: 8427,17962
开心橘子: 1533,10011
wsld: 6439,6440,6441
asddas: 36266,41329
沉浮: 2742,4996
young: 6099,14797,41363,42582
撼地神牛: 16831,34134
碧落: 4293,11845
蓝精灵: 3870,26342
简单: 4943,29759,42623
wow_tczh: 7338,7344
F12: 20535,20539,20540
imba: 45639,45979
小肉: 38056,45693
情非得已: 19313,19321
小霸王: 15993,39500,41777
小超: 4088,30801,36528,40266
宝宝: 15796,28021,42758
兔兔: 25085,42539
小菜: 4667,11731,16842,16853,17738,19286,20057
Sparrow: 2266,33951
楚狂人: 22318,36952
一起dota: 1125,6862
