外传电信一区:神圣领域,光明圣殿,雪月森林,蛊惑之路,飞鹰瀑布,太阳神殿,重霄仙境,黑暗之城
外传电信二区:魔坛,仙境,天界,神域,地府,冥界
外传网通一区:万魔殿,天空城,星月阁,幻影城,火焰楼,魔神柱,古战场,海神殿
电信十四:威瑟斯庞,巨魔荒丘,熔岩山谷,地精巢穴,海加尔山,黑域大陆,墨晶山谷,白领山脉
电信十五:阿尔卑斯湿地,南十字星森林,卡瑞姆多平原,圣弗朗西斯科,桑切斯大草原,地狱焦盐沼泽,熔岩堤风山谷,十星连珠寒潭
电信十六:剃刀荒丘,怒焰大陆,钟乳洞穴,不归森林,丝绸大陆,剑桥绿洲,巢农神庙,树屋驿馆
电信十七:彩虹龙城,迷途山脉,黑犀部落,永恒月井,冥海深渊,滹夜古城,裴寂之地,蛮荒古原
电信十八:龙之墓,彩玉城,骷髅山,雪梨城,特拉村,桑干河,多洛特,博格村
电信十九:澈桑大陆,欧丝之野,加里曼丹,慕兰帝国,俄狄神殿,横断山脉,巨人小屋,红土高坡
电信二十:墨晶峡谷,黑暗深渊,幽暗森林,精灵王国,沙罗曼城,蛮荒古道,凡贡森林,冰封圣地
网通七:摩尼女神庙,食人魔巢穴,泰穆尔拉雅,拿仑角海峡,魔索布拉达,多瑙大荒原,落日大沼泽,黑曜石天桥
网通八:罡风天堑,蜘蛛神庙,沉寂之海,曙光龙城,地下监狱,雾霭之海,深渊沟壑,汇丰峡谷
网通九:碧落之黄泉,文莱主神庙,特仑苏酒坊,塔克拉玛戈,萨日里窝城,宝莱坞大陆,加拉塔萨雷,卡萨布兰卡
网通十:巨龙山谷,暴风祭坛,荒芜之地,众神之墓,狂风峭壁,绿野仙踪,黑暗平原,翡翠梦境
